timestamp_iso,timestamp_ms,temp_c
2025-10-06T20:02:01+00:00,1759780921000,36.23
2025-10-06T20:03:48+00:00,1759781028000,36.08
2025-10-06T20:21:21+00:00,1759782081000,36.74
2025-10-06T20:23:53+00:00,1759782233000,36.63
2025-10-06T20:30:52+00:00,1759782652000,36.12
2025-10-06T20:40:22+00:00,1759783222000,36.47
2025-10-06T20:41:27+00:00,1759783287000,36.3
2025-10-06T20:44:15+00:00,1759783455000,36.12
2025-10-06T20:49:06+00:00,1759783746000,36.38
2025-10-06T21:04:18+00:00,1759784658000,36.61
2025-10-06T21:08:00+00:00,1759784880000,36.56
2025-10-06T21:12:19+00:00,1759785139000,36.17
2025-10-06T21:25:48+00:00,1759785948000,36.31
2025-10-06T21:26:00+00:00,1759785960000,37.11
2025-10-06T21:29:55+00:00,1759786195000,36.27
2025-10-06T21:42:29+00:00,1759786949000,36.43
2025-10-06T21:46:20+00:00,1759787180000,36.73
2025-10-06T21:46:49+00:00,1759787209000,36.72
2025-10-06T21:50:58+00:00,1759787458000,36.57
2025-10-06T22:07:22+00:00,1759788442000,36.23
2025-10-06T22:25:16+00:00,1759789516000,36.83
2025-10-06T22:30:04+00:00,1759789804000,36.56
2025-10-06T22:31:42+00:00,1759789902000,36.89
2025-10-06T22:36:04+00:00,1759790164000,37.08
2025-10-06T22:47:44+00:00,1759790864000,36.74
2025-10-06T23:08:00+00:00,1759792080000,36.66
2025-10-06T23:08:28+00:00,1759792108000,36.39
2025-10-06T23:24:20+00:00,1759793060000,36.66
2025-10-06T23:25:16+00:00,1759793116000,36.61
2025-10-06T23:26:34+00:00,1759793194000,36.63
2025-10-06T23:30:39+00:00,1759793439000,37.0
2025-10-06T23:31:54+00:00,1759793514000,36.52
2025-10-06T23:38:48+00:00,1759793928000,36.79
2025-10-06T23:40:29+00:00,1759794029000,36.37
2025-10-06T23:41:42+00:00,1759794102000,36.73
2025-10-06T23:43:59+00:00,1759794239000,37.27
2025-10-06T23:47:16+00:00,1759794436000,36.72
2025-10-07T00:00:24+00:00,1759795224000,36.7
2025-10-07T00:12:52+00:00,1759795972000,37.0
2025-10-07T00:13:11+00:00,1759795991000,36.69
2025-10-07T00:16:29+00:00,1759796189000,37.25
2025-10-07T00:23:50+00:00,1759796630000,37.01
